timestamp,taskId,childID,grandChildID,taskName,rawDataText,typeOfChangeNew,typeOfChangeDescriptionNew,typeOfChangeOrignal,typeOfChangeDescriptionOriginal,createdByName,createdById,currentAssignee,currentAssigneeId,mergedCurrentAssignee,mergedCurrentAssigneeId,childName,grandChildName,circles,circleIds,aliveStatus,messageType,date,time,taskCompletedAt,taskModifiedAt,taskNotes,parentCircle,accordingToCircle,secondDegreeCircleRelationshipId,secondDegreeCircleRelationshipName,roleType,eventId,projectId,workspaceId,workspaceName,projectName
2013-09-16 17:26:19.861,7746376637832,,,☯ Marketing,,20,DESIGN_CIRCLE,20,DESIGN_CIRCLE,Ruben,,,,,,,,NO CIRCLE,,alive,derived,2013-09-16,17:26:19.861,2015-01-27T21:11:34.901,2017-07-02T22:07:55.236,"https://app.asana.com/0/7631383543799/7631383543799  | https://app.asana.com/0/7734178077721/7734178077721 | https://app.asana.com/0/7432355946708/7432355946708
https://app.asana.com/0/4806508374245/4806508374245 | https://app.asana.com/0/4724825368657/4724825368657 | https://app.asana.com/0/7631383543799/7746376637832 | https://app.asana.com/0/8939810314413/8939810314413 
",null,,,,role,,7963718816247,864733919245,Springest,☺ Alignment Roles
2013-10-01 13:48:40.47,7963718816305,,,☯ Mentoring,,20,DESIGN_CIRCLE,20,DESIGN_CIRCLE,Ruben,,,,,,,,NO CIRCLE,,alive,derived,2013-10-01,13:48:40.470,2015-10-27T12:06:40.504,2019-05-15T14:11:23.333,"https://app.asana.com/0/12019477143815/12019477143815 - https://app.asana.com/0/11450150388976/11450150388976 - https://app.asana.com/0/11450150388970/11450150388970 - https://app.asana.com/0/11450150388973/11450150388973 -  https://app.asana.com/0/7963718816247/7963718816305  - https://app.asana.com/0/7963718816247/7963718816247
",null,,,,role,,11555199602299,864733919245,Springest,☺ Smooth Operations Roles
2014-02-27 14:08:42.41,10589483252081,,,☯ Sales,,20,DESIGN_CIRCLE,20,DESIGN_CIRCLE,Debbie,,,,,,,,NO CIRCLE,,alive,derived,2014-02-27,14:08:42.410,2015-01-27T21:11:41.632,2017-07-04T20:51:46.285,"https://app.asana.com/0/7746376637805/7746376637805 - https://app.asana.com/0/7946582331703/7946582331703 - https://app.asana.com/0/7744437203208/7744437203208  - https://app.asana.com/0/10213415262034/10213415262034 - https://app.asana.com/0/7744437203208/10589483252081 
",null,,,,role,,7963718816247,864733919245,Springest,☺ Alignment Roles
2014-04-01 14:34:47.795,11341931869285,,,☯ Organisations,,20,DESIGN_CIRCLE,20,DESIGN_CIRCLE,Ruben,,,,,,,,NO CIRCLE,,alive,derived,2014-04-01,14:34:47.795,,2020-06-30T12:47:05.162,"https://app.asana.com/0/7963718816247/11341931869285
https://app.asana.com/0/11347525454570/11347525454570
https://app.asana.com/0/11347525594888/11347525594888
https://app.asana.com/0/9410085177760/9410085177760
https://app.asana.com/0/11525616184827/11525616184827 

https://app.asana.com/0/search/11694072594550 
https://app.asana.com/0/search/11347525454574/11347525454574

See all roles at http://roles.springest.com/
",null,,,,role,,7963718816247,864733919245,Springest,☺ Alignment Roles
2014-04-01 14:53:33.526,11345326662026,,,☯ Transactions,,20,DESIGN_CIRCLE,20,DESIGN_CIRCLE,Ruben,,,,,,,,NO CIRCLE,,alive,derived,2014-04-01,14:53:33.526,2014-09-01T11:37:44.007,2017-07-05T07:56:01.224,"https://app.asana.com/0/11797999988471/11797999988471 - https://app.asana.com/0/search/7453054610511/7453054610511 - https://app.asana.com/0/7488421731381/7488421731381 - https://app.asana.com/0/11347525594876/11347525594876  - https://app.asana.com/0/11348115733592/11348115733592 - https://app.asana.com/0/7963718816247/11345326662026
",null,,,,role,,7963718816247,864733919245,Springest,☺ Alignment Roles
2014-04-01 14:54:40.866,11345350579930,,,☯ Marketplace (non-German),,20,DESIGN_CIRCLE,20,DESIGN_CIRCLE,Ruben,,,,,,,,NO CIRCLE,,alive,derived,2014-04-01,14:54:40.866,2018-06-11T20:29:40.585,2018-06-11T18:29:41.197,"https://app.asana.com/0/7963718816247/11345350579930
https://app.asana.com/0/11348115733592/list
https://app.asana.com/0/11797999988471/11797999988471
https://app.asana.com/0/7488421731381/7488421731381 
https://app.asana.com/0/11347525594876/11347525594876
 
See all roles at http://roles.springest.com/
",null,,,,role,,7963718816247,864733919245,Springest,☺ Alignment Roles
2014-04-01 14:54:48.445,11345353630807,,,☯ Providers,,20,DESIGN_CIRCLE,20,DESIGN_CIRCLE,Ruben,,,,,,,,NO CIRCLE,,alive,derived,2014-04-01,14:54:48.445,2016-01-05T13:29:58.876,2017-07-05T07:56:03.696,https://app.asana.com/0/11350833325340/11350833325340 ,null,,,,role,,7963718816247,864733919245,Springest,☺ Alignment Roles
2014-04-04 18:15:22.675,11428434657802,,,(deleted) ☯ Rainmakers,,20,DESIGN_CIRCLE,20,DESIGN_CIRCLE,Peter Koelewijn,,,,,,,,NO CIRCLE,,alive,derived,2014-04-04,18:15:22.675,,2017-07-05T09:17:16.279,"https://app.asana.com/0/13169100426325/13169100426325 - https://app.asana.com/0/13161110136206/13161110136206 - https://app.asana.com/0/7963718816247/11428434657802 - https://app.asana.com/0/13156258276234/13156258276234 - https://app.asana.com/0/13161110136200/13161110136200
",null,,,,role,,13169100426325,864733919245,Springest,☺ Rainmakers Roles
2014-04-10 12:21:44.141,11555199602259,,,☯ Smooth Operations,,20,DESIGN_CIRCLE,20,DESIGN_CIRCLE,Ruben,,,,,,,,NO CIRCLE,,alive,derived,2014-04-10,12:21:44.141,,2020-09-11T12:52:03.787,"https://app.asana.com/0/7963718816247/11555199602259
https://app.asana.com/0/11555199602299/11555199602299
https://app.asana.com/0/11555199602313/11555199602313 
https://app.asana.com/0/11889955797488/11889955797488  
See all roles at http://roles.springest.com/",null,,,,role,,11555199602299,864733919245,Springest,☺ Smooth Operations Roles
2014-04-14 12:25:33.731,11626666784401,,,☯ Business Intelligence,,20,DESIGN_CIRCLE,20,DESIGN_CIRCLE,Peter Koelewijn,,,,,,,,NO CIRCLE,,alive,derived,2014-04-14,12:25:33.731,2015-03-24T15:28:50.959,2017-07-05T12:24:10.323,"https://app.asana.com/0/11626921109046/11626921109046 | https://app.asana.com/0/7734178077721/11626666784401 | https://app.asana.com/0/12017926157013/12017926157013 | https://app.asana.com/0/12345956812088/12345956812088 
",null,,,,role,,7963718816247,864733919245,Springest,☺ Alignment Roles
